parameter,value,scenario,GWP,MSP,E_kWh,GWP_credited
util,0.9,IL_B,0.21077429593586552,5.665424618773663,0.012551263389451854,0.19894717732368145
util,0.9,FA_A,0.1536240264968509,4.486381801638287,0.012551263389451854,0.1417969078846668
util,0.9,FA_B,0.1536240264968509,4.967074241492407,0.012551263389451854,0.1417969078846668
util,0.9,BC_A,0.1664771841594298,6.345106679288011,0.012551263389451854,0.15465006554724572
util,0.9,BC_B,0.1464920446482251,5.176357399638907,0.012551263389451854,0.13466492603604102
util,0.9,LC3_A,0.15016367959251595,4.436758417397297,0.012551263389451854,0.13833656098033187
util,0.9,LC3_B,0.15016367959251595,4.917450857251416,0.012551263389451854,0.13833656098033187
util,0.95,IL_A,0.21015181600890848,5.184732178919544,0.011890670579480705,0.19894717732368145
util,0.95,IL_B,0.21015181600890848,5.665424618773663,0.011890670579480705,0.19894717732368145
util,0.95,FA_A,0.15300154656989384,4.486381801638287,0.011890670579480705,0.1417969078846668
util,0.95,FA_B,0.15300154656989384,4.967074241492407,0.011890670579480705,0.1417969078846668
util,0.95,BC_A,0.16569417269747194,6.3411706784916015,0.011890670579480705,0.1544895340122449
util,0.95,BC_B,0.14570903318626724,5.172367137795568,0.011890670579480705,0.13450439450104024
util,0.95,LC3_A,0.1495411996655589,4.436758417397297,0.011890670579480705,0.13833656098033187
util,0.95,LC3_B,0.1495411996655589,4.917450857251416,0.011890670579480705,0.13833656098033187
util,1.0,IL_A,0.20959158407464712,5.184732178919544,0.011296137050506671,0.19894717732368145
util,1.0,IL_B,0.20959158407464712,5.665424618773663,0.011296137050506671,0.19894717732368145
util,1.0,FA_A,0.15244131463563249,4.486381801638287,0.011296137050506671,0.1417969078846668
util,1.0,FA_B,0.15244131463563249,4.967074241492407,0.011296137050506671,0.1417969078846668
util,1.0,BC_A,0.16498946238170983,6.337624861448024,0.011296137050506671,0.15434505563074416
util,1.0,BC_B,0.14500432287050513,5.168770983408761,0.011296137050506671,0.13435991611953946
